State or jurisdiction,Fully  virtual,Not fully virtual,,,,,,,,,,
  United States1 ,289,"4,098",,,,,,,,,,
Alabama,1,0,,,,,,,,,,
Alaska,0,48,,,,,,,,,,
Arizona,49,0,,,,,,,,,,
Arkansas,1,279,,,,,,,,,,
California,8,717,,,,,,,,,,
Colorado,12,13,,,,,,,,,,
Connecticut,0,0,,,,,,,,,,
Delaware,0,0,,,,,,,,,,
District of Columbia,0,0,,,,,,,,,,
Florida,64,0,,,,,,,,,,
Georgia,3,0,,,,,,,,,,
Hawaii,0,0,,,,,,,,,,
Idaho,9,2,,,,,,,,,,
Illinois,1,0,,,,,,,,,,
Indiana,7,0,,,,,,,,,,
Iowa,2,251,,,,,,,,,,
Kansas,6,0,,,,,,,,,,
Kentucky,11,276,,,,,,,,,,
Louisiana,3,0,,,,,,,,,,
Maine,2,0,,,,,,,,,,
Maryland,0,1,,,,,,,,,,
Massachusetts,0,0,,,,,,,,,,
Michigan,43,110,,,,,,,,,,
Minnesota,16,8,,,,,,,,,,
Mississippi,0,11,,,,,,,,,,
Missouri,1,0,,,,,,,,,,
Montana,0,131,,,,,,,,,,
Nebraska,1,0,,,,,,,,,,
Nevada,0,0,,,,,,,,,,
New Hampshire,1,0,,,,,,,,,,
New Jersey,0,0,,,,,,,,,,
New Mexico,1,3,,,,,,,,,,
New York,0,0,,,,,,,,,,
North Carolina,2,192,,,,,,,,,,
North Dakota,0,143,,,,,,,,,,
Ohio,6,0,,,,,,,,,,
Oklahoma,0,5,,,,,,,,,,
Oregon,3,204,,,,,,,,,,
Pennsylvania,4,0,,,,,,,,,,
Rhode Island,0,1,,,,,,,,,,
South Carolina,2,286,,,,,,,,,,
South Dakota,4,122,,,,,,,,,,
Tennessee,8,120,,,,,,,,,,
Texas,3,0,,,,,,,,,,
Utah,0,6,,,,,,,,,,
Vermont,0,50,,,,,,,,,,
Virginia,0,324,,,,,,,,,,
Washington,5,276,,,,,,,,,,
West Virginia,0,0,,,,,,,,,,
Wisconsin,10,519,,,,,,,,,,
Wyoming,0,0,,,,,,,,,,
See notes at end of table.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
